Region,Country/Region,2010,2011,2012,2013,2014,2015,2016,% share in 2016
North America,US,850.066,834.913,817.005,832.096,838.074,856.454,863.122,19.535
North America,Canada,101.036,104.235,102.302,103.522,103.107,99.15,100.924,2.284
North America,Mexico,88.571,90.305,92.289,89.824,85.419,84.39,82.84,1.875
S. & Cent. America,Argentina,28.069,28.266,29.6,31.855,31.325,32.182,31.905,0.722
S. & Cent. America,Brazil,126.817,131.862,134.309,144.178,150.589,146.618,138.824,3.142
S. & Cent. America,Chile,16.015,17.557,17.47,16.835,17.379,17.638,17.753,0.402
S. & Cent. America,Colombia,11.931,12.767,13.86,13.905,14.766,15.551,15.91,0.36
S. & Cent. America,Ecuador,10.277,10.539,10.917,11.563,12.183,11.797,11.043,0.25
S. & Cent. America,Peru,8.614,9.461,9.594,10.142,10.008,10.681,11.442,0.259
S. & Cent. America,Trinidad & Tobago,2.228,2.089,2.014,2.257,2.061,2.245,2.154,0.1
S. & Cent. America,Venezuela,34.112,34.565,37.173,36.715,33.572,30.239,28.706,0.65
S. & Cent. America,Other S. & Cent. America,65.55,66.901,66.09,64.51,64.66,67.488,68.512,1.551
Europe & Eurasia,Austria,13.379,12.666,12.519,12.735,12.468,12.455,12.657,0.286
Europe & Eurasia,Azerbaijan,3.217,3.987,4.168,4.543,4.446,4.533,4.613,0.104
Europe & Eurasia,Belarus,7.475,8.597,10.446,7.136,8.127,7.707,7.537,0.171
Europe & Eurasia,Belgium,32.707,30.524,29.632,30.145,29.711,30.958,31.769,0.719
Europe & Eurasia,Bulgaria,3.885,3.782,3.903,3.618,3.863,4.376,4.517,0.102
Europe & Eurasia,Czech Republic,9.191,9.034,8.954,8.542,9.063,8.928,8.401,0.19
Europe & Eurasia,Denmark,8.355,8.257,7.752,7.722,7.829,7.989,8.038,0.182
Europe & Eurasia,Finland,10.551,9.711,9.142,9.012,8.632,8.742,8.999,0.204
Europe & Eurasia,France,84.463,83.024,80.301,79.253,76.902,76.783,76.374,1.729
Europe & Eurasia,Germany,115.385,111.976,111.439,113.384,110.437,110.005,112.985,2.557
Europe & Eurasia,Greece,18.085,17.001,15.267,14.498,14.382,14.918,15.377,0.348
Europe & Eurasia,Hungary,6.696,6.371,5.949,5.904,6.599,6.995,7.102,0.161
Europe & Eurasia,Ireland,7.645,6.824,6.495,6.547,6.471,6.814,7.041,0.159
Europe & Eurasia,Italy,73.085,70.512,64.228,59.423,55.793,57.633,58.101,1.315
Europe & Eurasia,Kazakhstan,9.874,11.536,11.531,12.081,12.295,13.183,13.195,0.299
Europe & Eurasia,Lithuania,2.695,2.607,2.685,2.61,2.554,2.795,2.991,0.068
Europe & Eurasia,Netherlands,45.874,46.077,43.705,41.437,39.621,38.734,39.945,0.904
Europe & Eurasia,Norway,10.754,10.604,10.535,10.758,10.152,10.309,10.412,0.236
Europe & Eurasia,Poland,26.706,26.617,25.691,23.809,23.875,24.942,27.202,0.616
Europe & Eurasia,Portugal,12.952,12.109,11.016,11.295,11.147,11.508,11.171,0.253
Europe & Eurasia,Romania,8.753,9.117,9.205,8.402,8.953,9.157,9.492,0.215
Europe & Eurasia,Russian Federation,133.282,142.219,144.636,144.328,152.271,144.176,147.986,3.349
Europe & Eurasia,Slovakia,3.917,3.89,3.595,3.609,3.402,3.673,4,0.091
Europe & Eurasia,Spain,72.1,68.817,64.729,59.28,58.959,61.2,62.48,1.414
Europe & Eurasia,Sweden,16.175,14.838,14.631,14.359,14.466,14.128,14.693,0.333
Europe & Eurasia,Switzerland,11.381,11.038,11.246,11.779,10.575,10.734,10.178,0.23
Europe & Eurasia,Turkey,31.793,31.105,31.604,33.45,34.325,38.893,41.172,0.932
Europe & Eurasia,Turkmenistan,5.547,5.767,6.01,6.179,6.463,6.618,6.689,0.151
Europe & Eurasia,Ukraine,12.606,13.082,12.533,11.904,10.255,9.177,9.122,0.206
Europe & Eurasia,United Kingdom,74.92,73.618,71.397,70.299,69.826,71.753,73.141,1.655
Europe & Eurasia,Uzbekistan,3.622,3.412,3.034,2.862,2.697,2.728,2.755,0.062
Europe & Eurasia,Other Europe & Eurasia,35.275,35.028,34.127,33.358,32.248,33.317,34.49,0.781
Middle East,Iran,83.579,84.74,85.669,93.551,90.449,84.503,83.827,1.897
Middle East,Israel,11.213,11.844,13.945,11.463,10.599,11.367,11.62,0.263
Middle East,Kuwait,20.942,20.36,24.41,22.678,20.983,22.273,21.993,0.498
Middle East,Qatar,6.478,7.984,8.204,9.318,9.729,10.692,11.704,0.265
Middle East,Saudi Arabia,137.098,139.123,146.205,147.312,159.785,166.641,167.935,3.801
Middle East,United Arab Emirates,30.742,33.234,35.006,35.544,38.628,40.861,43.467,0.984
Middle East,Other Middle East,73.074,74.411,76.011,78.77,78.191,76.462,77.29,1.749
Africa,Algeria,14.835,15.831,16.822,17.562,17.66,19.463,18.893,0.428
Africa,Egypt,36.297,33.697,35.307,35.758,38.322,39.625,40.64,0.92
Africa,South Africa,25.619,25.738,26.521,27.263,27.022,27.868,26.941,0.61
Africa,Other Africa,87.742,84.177,89.953,94.789,94.514,95.138,98.922,2.239
Asia Pacific,Australia,43.725,46.326,47.897,48.152,48.124,47.863,47.833,1.083
Asia Pacific,Bangladesh,3.915,5.084,5.443,5.291,5.752,6.194,6.582,0.149
Asia Pacific,China,448.495,465.106,487.07,508.142,527.963,561.839,578.656,13.097
Asia Pacific,China Hong Kong SAR,17.802,17.976,17.209,17.606,16.649,18.262,18.892,0.428
Asia Pacific,India,155.391,163.019,173.575,175.345,180.846,195.838,212.684,4.814
Asia Pacific,Indonesia,64.684,73.078,74.415,74.463,75.262,71.789,72.588,1.643
Asia Pacific,Japan,202.708,203.683,217.681,207.399,197.029,189.014,184.301,4.171
Asia Pacific,Malaysia,29.271,31.545,32.911,34.945,34.938,35.543,36.29,0.821
Asia Pacific,New Zealand,7.04,7.013,6.96,7.06,7.202,7.493,7.652,0.173
Asia Pacific,Pakistan,20.548,20.677,19.991,21.91,22.649,24.585,27.472,0.622
Asia Pacific,Philippines,14.611,13.798,14.371,14.932,16.055,18.312,19.916,0.451
Asia Pacific,Singapore,60.949,63.695,63.368,64.152,65.78,69.407,72.182,1.634
Asia Pacific,South Korea,104.958,105.79,108.773,108.294,107.936,113.778,122.15,2.765
Asia Pacific,Taiwan,47.219,44.54,44.592,45.094,46.121,46.478,46.67,1.056
Asia Pacific,Thailand,47.749,49.728,52.294,54.537,54.974,57.292,58.958,1.334
Asia Pacific,Vietnam,15.585,16.93,17.106,17.259,18.035,18.847,20.067,0.454
Asia Pacific,Other Asia Pacific,17.523,19.398,19.745,20.599,21.679,23.237,24.364,0.551
